tahun,bulan,level_wilayah,nama_wilayah,inflasi_mtm,inflasi_ytd,inflasi_yoy,created_at
2025,1,kota,Kota Tegal,-0.07,-0.07,2.41,50:47.2
2025,2,kota,Kota Tegal,-0.95,-1.44,-0.11,50:47.2
2025,3,kota,Kota Tegal,1.49,0.03,0.7,50:47.2
2025,4,kota,Kota Tegal,1.56,1.59,2.04,50:47.2
2025,5,kota,Kota Tegal,-0.44,1.14,2.04,50:47.2
2025,6,kota,Kota Tegal,0.03,1.17,2.22,50:47.2
2025,7,kota,Kota Tegal,0.41,1.59,2.65,50:47.2
2025,8,kota,Kota Tegal,-0.02,1.57,2.62,50:47.2
2025,9,kota,Kota Tegal,0.27,1.85,2.77,50:47.2
2025,10,kota,Kota Tegal,0.41,2.27,2.98,50:47.2
2025,11,kota,Kota Tegal,0.14,2.41,2.9,50:47.2
2025,12,kota,Kota Tegal,0.41,2.83,2.83,50:47.2
2025,1,provinsi,Jawa Tengah,-0.08,-0.08,2.69,50:47.2
2025,2,provinsi,Jawa Tengah,-0.78,-1.23,-0.08,50:47.2
2025,3,provinsi,Jawa Tengah,1.43,0.18,0.75,50:47.2
2025,4,provinsi,Jawa Tengah,1.38,1.56,1.94,50:47.2
2025,5,provinsi,Jawa Tengah,-0.49,1.06,1.66,50:47.2
2025,6,provinsi,Jawa Tengah,-0.28,0.79,2.22,50:47.2
2025,7,provinsi,Jawa Tengah,0.18,1.49,2.52,50:47.2
2025,8,provinsi,Jawa Tengah,-0.1,1.39,2.48,50:47.2
2025,9,provinsi,Jawa Tengah,0.21,1.61,2.65,50:47.2
2025,10,provinsi,Jawa Tengah,0.4,2.01,2.86,50:47.2
2025,11,provinsi,Jawa Tengah,0.19,2.2,2.79,50:47.2
2025,12,provinsi,Jawa Tengah,0.5,2.72,2.72,50:47.2
2025,1,nasional,Nasional,-0.76,-0.76,0.76,50:47.2
2025,2,nasional,Nasional,-0.48,-1.24,-0.09,50:47.2
2025,3,nasional,Nasional,1.65,0.39,1.03,50:47.2
2025,4,nasional,Nasional,1.17,1.56,1.95,50:47.2
2025,5,nasional,Nasional,-0.37,1.19,1.6,50:47.2
2025,6,nasional,Nasional,0.19,1.38,1.87,50:47.2
2025,7,nasional,Nasional,0.3,1.69,2.37,50:47.2
2025,8,nasional,Nasional,-0.08,1.6,2.31,50:47.2
2025,9,nasional,Nasional,0.21,1.82,2.65,50:47.2
2025,10,nasional,Nasional,0.28,2.1,2.86,50:47.2
2025,11,nasional,Nasional,0.17,2.27,2.72,50:47.2
2025,12,nasional,Nasional,0.64,2.92,2.92,50:47.2
2024,1,kota,Kota Tegal,-0.07,-0.07,2.41,11:47.0
2024,2,kota,Kota Tegal,0.9,0.84,2.8,11:47.0
2024,3,kota,Kota Tegal,0.67,1.51,3.41,11:47.0
2024,4,kota,Kota Tegal,0.23,1.75,3.33,11:47.0
2024,5,kota,Kota Tegal,-0.44,1.3,2.45,11:47.0
2024,6,kota,Kota Tegal,0.15,1.15,2.29,11:47.0
2024,7,kota,Kota Tegal,-0.01,1.14,2.16,11:47.0
2024,8,kota,Kota Tegal,0.01,1.15,2.13,11:47.0
2024,9,kota,Kota Tegal,0.13,1.28,2.03,11:47.0
2024,10,kota,Kota Tegal,0.21,1.49,2.02,11:47.0
2024,11,kota,Kota Tegal,0.22,1.71,1.89,11:47.0
2024,12,kota,Kota Tegal,0.48,2.19,2.19,11:47.0
2024,1,provinsi,Jawa Tengah,-0.08,-0.08,2.69,11:47.0
2024,2,provinsi,Jawa Tengah,0.57,0.49,2.98,11:47.0
2024,3,provinsi,Jawa Tengah,0.6,1.09,3.4,11:47.0
2024,4,provinsi,Jawa Tengah,0.2,1.29,3.27,11:47.0
2024,5,provinsi,Jawa Tengah,0.22,1.07,2.66,11:47.0
2024,6,provinsi,Jawa Tengah,-0.28,0.79,2.22,11:47.0
2024,7,provinsi,Jawa Tengah,-0.13,0.66,1.86,11:47.0
2024,8,provinsi,Jawa Tengah,-0.07,0.59,1.77,11:47.0
2024,9,provinsi,Jawa Tengah,0.05,0.64,1.57,11:47.0
2024,10,provinsi,Jawa Tengah,0.19,0.83,1.6,11:47.0
2024,11,provinsi,Jawa Tengah,0.26,1.09,1.33,11:47.0
2024,12,provinsi,Jawa Tengah,0.57,1.67,1.67,11:47.0
2024,1,nasional,Nasional,0.04,0.04,2.57,11:47.0
2024,2,nasional,Nasional,0.37,0.41,2.75,11:47.0
2024,3,nasional,Nasional,0.52,0.93,3.05,11:47.0
2024,4,nasional,Nasional,0.25,1.19,3,11:47.0
2024,5,nasional,Nasional,-0.03,1.16,2.84,11:47.0
2024,6,nasional,Nasional,-0.08,1.07,2.51,11:47.0
2024,7,nasional,Nasional,0.18,0.89,2.13,11:47.0
2024,8,nasional,Nasional,-0.03,0.87,2.12,11:47.0
2024,9,nasional,Nasional,-0.12,0.74,1.84,11:47.0
2024,10,nasional,Nasional,0.08,0.82,1.71,11:47.0
2024,11,nasional,Nasional,0.3,1.12,1.55,11:47.0
2024,12,nasional,Nasional,0.44,1.57,1.57,11:47.0
2026,1,kota,Kota Tegal,-0.24,-0.24,3.08,29:55.3
2026,1,provinsi,Jawa Tengah,-0.35,-0.35,2.83,29:55.3
2026,1,nasional,Nasional,-0.15,-0.15,3.55,29:55.3
2026,2,kota,Kota Tegal,0.86,0.61,4.97,31:15.4
2026,2,provinsi,Jawa Tengah,0.76,0.41,4.43,31:15.4
2026,2,nasional,Nasional,0.68,0.53,4.76,31:15.4
